,ppl,ppl,dist,dist
,mean,std,mean,std
PPLM objective,,,,
"{'stepsize': 0.0, 'kl_scale': 0.0, 'grad_length': 14, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.0, 'grad_length': 2, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.0, 'grad_length': 6, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.01, 'grad_length': 16, 'gm_scale': 0.7}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.01, 'grad_length': 2, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.01, 'grad_length': 6, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.02, 'grad_length': 10, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.02, 'grad_length': 6, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.03, 'grad_length': 14, 'gm_scale': 0.1}",100.33,151.46,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.03, 'grad_length': 16, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.03, 'grad_length': 18, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.03, 'grad_length': 4, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.03, 'grad_length': 4, 'gm_scale': 0.7}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.03, 'grad_length': 8, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.04, 'grad_length': 14, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.04, 'grad_length': 18, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.05, 'grad_length': 16, 'gm_scale': 0.3}",100.3,151.48,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.05, 'grad_length': 16, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.05, 'grad_length': 6, 'gm_scale': 0.5}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.05, 'grad_length': 8, 'gm_scale': 0.6}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.06, 'grad_length': 0, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.06, 'grad_length': 12, 'gm_scale': 0.5}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.06, 'grad_length': 18, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.07, 'grad_length': 0, 'gm_scale': 0.7}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.07, 'grad_length': 12, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.07, 'grad_length': 18, 'gm_scale': 0.9}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.08, 'grad_length': 10, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.08, 'grad_length': 10, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.08, 'grad_length': 18, 'gm_scale': 0.7}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.08, 'grad_length': 8, 'gm_scale': 0.8}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.09, 'grad_length': 0, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.09, 'grad_length': 16, 'gm_scale': 0.2}",100.3,151.48,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.09, 'grad_length': 16, 'gm_scale': 0.4}",100.4,151.45,0.91,0.05
"{'stepsize': 0.0, 'kl_scale': 0.09, 'grad_length': 2, 'gm_scale': 0.0}",100.33,151.46,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.0, 'grad_length': 10, 'gm_scale': 0.2}",86.91,142.52,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.0, 'grad_length': 4, 'gm_scale': 0.1}",90.12,141.84,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.0, 'grad_length': 4, 'gm_scale': 0.2}",87.87,141.91,0.91,0.05
"{'stepsize': 0.01, 'kl_scale': 0.0, 'grad_length': 6, 'gm_scale': 0.5}",82.13,140.12,0.9,0.05
